Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education_Updated,EducationField,EnvironmentSatisfaction_Updated,Gender,HourlyRate,JobInvolvement_Updated,JobLevel_Updated,JobRole,JobSatisfaction_Updated,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction_Updated,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance_Updated,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18,18-25,1,Travel_Rarely,230,Research & Development,3,Moderately Educated,Life Sciences,High,Male,54,High,Very Low,Laboratory Technician,High,Single,1420,1,0,13,3,High,0,0,2,High,0,0,0,0
18,18-25,0,Travel_Rarely,812,Sales,10,Moderately Educated,Medical,Very High,Female,69,Medium,Very Low,Sales Representative,High,Single,1200,1,0,12,3,Low,0,0,2,High,0,0,0,0
18,18-25,1,Travel_Frequently,1306,Sales,5,Moderately Educated,Marketing,Medium,Male,69,High,Very Low,Sales Representative,Medium,Single,1878,1,1,14,3,Very High,0,0,3,High,0,0,0,0
18,18-25,0,Non-Travel,287,Research & Development,5,Less Educated,Life Sciences,Medium,Male,73,High,Very Low,Research Scientist,Very High,Single,1051,1,0,15,3,Very High,0,0,2,High,0,0,0,0
18,18-25,1,Non-Travel,247,Research & Development,8,Very Less Educated,Medical,High,Male,80,High,Very Low,Laboratory Technician,High,Single,1904,1,0,12,3,Very High,0,0,0,High,0,0,0,0
18,18-25,0,Non-Travel,1124,Research & Development,1,Moderately Educated,Life Sciences,Very High,Female,97,High,Very Low,Laboratory Technician,Very High,Single,1611,1,0,15,3,High,0,0,5,Very High,0,0,0,0
18,18-25,1,Travel_Frequently,544,Sales,3,Less Educated,Medical,Medium,Female,70,High,Very Low,Sales Representative,Very High,Single,1569,1,1,12,3,High,0,0,2,Very High,0,0,0,0
18,18-25,0,Non-Travel,1431,Research & Development,14,Moderately Educated,Medical,Medium,Female,33,High,Very Low,Research Scientist,High,Single,1514,1,0,16,3,High,0,0,4,Low,0,0,0,0
19,18-25,1,Travel_Rarely,528,Sales,22,Very Less Educated,Marketing,Very High,Male,50,High,Very Low,Sales Representative,High,Single,1675,1,1,19,3,Very High,0,0,2,Medium,0,0,0,0
19,18-25,0,Travel_Rarely,1181,Research & Development,3,Very Less Educated,Medical,Medium,Female,79,High,Very Low,Laboratory Technician,Medium,Single,1483,1,0,14,3,Very High,0,1,3,High,1,0,0,0
19,18-25,1,Travel_Frequently,602,Sales,1,Very Less Educated,Technical Degree,High,Female,100,Low,Very Low,Sales Representative,Low,Single,2325,0,0,21,4,Low,0,1,5,Very High,0,0,0,0
19,18-25,1,Travel_Rarely,303,Research & Development,2,Moderately Educated,Life Sciences,Medium,Male,47,Medium,Very Low,Laboratory Technician,Very High,Single,1102,1,0,22,4,High,0,1,3,Medium,1,0,1,0
19,18-25,1,Travel_Rarely,489,Human Resources,2,Less Educated,Technical Degree,Low,Male,52,Medium,Very Low,Human Resources,Very High,Single,2564,1,0,12,3,High,0,1,3,Very High,1,0,0,0
19,18-25,1,Travel_Rarely,419,Sales,21,Moderately Educated,Other,Very High,Male,37,Medium,Very Low,Sales Representative,Medium,Single,2121,1,1,13,3,Medium,0,1,3,Very High,1,0,0,0
19,18-25,0,Travel_Rarely,645,Research & Development,9,Less Educated,Life Sciences,High,Male,54,High,Very Low,Research Scientist,Low,Single,2552,1,0,25,4,High,0,1,4,High,1,1,0,0
19,18-25,1,Non-Travel,504,Research & Development,10,Moderately Educated,Medical,Low,Female,96,Medium,Very Low,Research Scientist,Medium,Single,1859,1,1,25,4,Medium,0,1,2,Very High,1,1,0,0
19,18-25,0,Travel_Rarely,265,Research & Development,25,Moderately Educated,Life Sciences,Medium,Female,57,Very High,Very Low,Research Scientist,Very High,Single,2994,1,1,12,3,Very High,0,1,2,High,1,0,0,1
20,18-25,1,Travel_Frequently,871,Research & Development,6,Moderately Educated,Life Sciences,Very High,Female,66,Medium,Very Low,Laboratory Technician,Very High,Single,2926,1,1,18,3,Medium,0,1,5,High,1,0,1,0
20,18-25,0,Travel_Rarely,959,Research & Development,1,Moderately Educated,Life Sciences,Very High,Female,83,Medium,Very Low,Research Scientist,Medium,Single,2836,1,0,13,3,Very High,0,1,0,Very High,1,0,0,0
20,18-25,1,Travel_Rarely,1362,Research & Development,10,Very Less Educated,Medical,Very High,Male,32,High,Very Low,Research Scientist,High,Single,1009,1,1,11,3,Very High,0,1,5,High,1,0,1,1
20,18-25,1,Travel_Rarely,500,Sales,2,Moderately Educated,Medical,High,Female,49,Medium,Very Low,Sales Representative,High,Single,2044,1,0,13,3,Very High,0,2,3,Medium,2,2,0,2
20,18-25,1,Travel_Rarely,129,Research & Development,4,Moderately Educated,Technical Degree,Low,Male,84,High,Very Low,Laboratory Technician,Low,Single,2973,1,0,19,3,Medium,0,1,2,High,1,0,0,0
20,18-25,1,Travel_Rarely,1097,Research & Development,11,Moderately Educated,Medical,Very High,Female,98,Medium,Very Low,Research Scientist,Low,Single,2600,1,1,15,3,Low,0,1,2,High,1,0,0,0
20,18-25,1,Travel_Frequently,769,Sales,9,Moderately Educated,Marketing,Very High,Female,54,High,Very Low,Sales Representative,Very High,Single,2323,1,1,14,3,Medium,0,2,3,High,2,2,0,2
20,18-25,0,Travel_Rarely,805,Research & Development,3,Moderately Educated,Life Sciences,Low,Male,87,Medium,Very Low,Laboratory Technician,High,Single,3033,1,0,12,3,Low,0,2,2,Medium,2,2,1,2
20,18-25,0,Travel_Rarely,654,Sales,21,Moderately Educated,Marketing,High,Male,43,Very High,Very Low,Sales Representative,Very High,Single,2678,1,0,17,3,Very High,0,2,2,High,2,1,2,2
20,18-25,0,Travel_Rarely,1141,Sales,2,Moderately Educated,Medical,High,Female,31,High,Very Low,Sales Representative,High,Single,2783,1,0,19,3,Low,0,2,3,High,2,2,2,2
20,18-25,0,Travel_Rarely,727,Sales,9,Very Less Educated,Life Sciences,Very High,Male,54,High,Very Low,Sales Representative,Low,Single,2728,1,0,11,3,Low,0,2,3,High,2,2,0,2
21,18-25,0,Travel_Rarely,391,Research & Development,15,Less Educated,Life Sciences,High,Male,96,High,Very Low,Research Scientist,Very High,Single,1232,1,0,14,3,Very High,0,0,6,High,0,0,0,3
21,18-25,0,Travel_Rarely,996,Research & Development,3,Less Educated,Medical,Very High,Male,100,Medium,Very Low,Research Scientist,High,Single,3230,1,0,17,3,Low,0,3,4,Very High,3,2,1,0
21,18-25,1,Travel_Frequently,756,Sales,1,Very Less Educated,Technical Degree,Low,Female,99,Medium,Very Low,Sales Representative,Medium,Single,2174,1,1,11,3,High,0,3,3,High,3,2,1,2
21,18-25,0,Non-Travel,895,Sales,9,Less Educated,Medical,Low,Male,39,High,Very Low,Sales Representative,Very High,Single,2610,1,0,24,4,High,0,3,3,Medium,3,2,2,3
21,18-25,1,Travel_Rarely,156,Sales,12,Moderately Educated,Life Sciences,High,Female,90,Very High,Very Low,Sales Representative,Medium,Single,2716,1,0,15,3,Very High,0,1,0,High,1,0,0,0
21,18-25,0,Travel_Rarely,1343,Sales,22,Very Less Educated,Technical Degree,High,Male,49,High,Very Low,Sales Representative,High,Single,3447,1,0,11,3,High,0,3,2,High,3,2,1,2
21,18-25,1,Travel_Rarely,1427,Research & Development,18,Very Less Educated,Other,Very High,Female,65,High,Very Low,Research Scientist,Very High,Single,2693,1,0,19,3,Low,0,1,3,Medium,1,0,0,0
21,18-25,1,Travel_Rarely,1334,Research & Development,10,Moderately Educated,Life Sciences,High,Female,36,Medium,Very Low,Laboratory Technician,Low,Single,1416,1,0,13,3,Low,0,1,6,Medium,1,0,1,0
21,18-25,0,Travel_Rarely,984,Research & Development,1,Very Less Educated,Technical Degree,Very High,Female,70,Medium,Very Low,Research Scientist,Medium,Single,2070,1,1,11,3,High,0,2,6,Very High,2,2,2,2
21,18-25,1,Travel_Frequently,251,Research & Development,10,Less Educated,Life Sciences,Low,Female,45,Medium,Very Low,Laboratory Technician,High,Single,2625,1,0,20,4,High,0,2,2,Low,2,2,2,2
21,18-25,0,Travel_Rarely,546,Research & Development,5,Very Less Educated,Medical,High,Male,97,High,Very Low,Research Scientist,Very High,Single,3117,1,0,18,3,High,0,3,2,High,2,2,2,2
21,18-25,1,Travel_Rarely,337,Sales,7,Very Less Educated,Marketing,Medium,Male,31,High,Very Low,Sales Representative,Medium,Single,2679,1,0,13,3,Medium,0,1,3,High,1,0,1,0
21,18-25,0,Travel_Rarely,501,Sales,5,Very Less Educated,Medical,High,Male,58,High,Very Low,Sales Representative,Low,Single,2380,1,1,11,3,Very High,0,2,6,High,2,2,1,2
22,18-25,0,Non-Travel,1123,Research & Development,16,Less Educated,Medical,Very High,Male,96,Very High,Very Low,Laboratory Technician,Very High,Divorced,2935,1,1,13,3,Medium,2,1,2,Medium,1,0,0,0
22,18-25,0,Travel_Rarely,534,Research & Development,15,Moderately Educated,Medical,Medium,Female,59,High,Very Low,Laboratory Technician,Very High,Single,2871,1,0,15,3,High,0,1,5,High,0,0,0,0
22,18-25,0,Travel_Rarely,594,Research & Development,2,Very Less Educated,Technical Degree,High,Male,100,High,Very Low,Laboratory Technician,Very High,Married,2523,0,0,14,3,High,1,3,2,High,2,1,2,1
22,18-25,0,Travel_Rarely,1256,Research & Development,19,Very Less Educated,Medical,High,Male,80,High,Very Low,Research Scientist,Very High,Married,2323,1,0,24,4,Low,2,2,6,High,2,2,2,2
22,18-25,0,Travel_Rarely,1136,Research & Development,5,Moderately Educated,Life Sciences,Very High,Male,60,Very High,Very Low,Research Scientist,Medium,Divorced,2328,1,1,16,3,Low,1,4,2,Medium,4,2,2,3
22,18-25,0,Travel_Rarely,253,Research & Development,11,Moderately Educated,Medical,Low,Female,43,High,Very Low,Research Scientist,Medium,Married,2244,1,0,13,3,Very High,1,2,1,High,2,1,1,2
22,18-25,1,Travel_Frequently,1368,Research & Development,4,Very Less Educated,Technical Degree,High,Male,99,Medium,Very Low,Laboratory Technician,High,Single,3894,5,0,16,3,High,0,4,3,High,2,2,1,2
22,18-25,0,Travel_Rarely,604,Research & Development,6,Very Less Educated,Medical,Low,Male,69,High,Very Low,Research Scientist,High,Married,2773,0,0,20,4,Very High,0,3,3,High,2,2,2,2
22,18-25,0,Travel_Rarely,1230,Research & Development,1,Less Educated,Life Sciences,Very High,Male,33,Medium,Low,Manufacturing Director,Very High,Married,4775,6,0,22,4,Low,2,4,2,Low,2,2,2,2
22,18-25,1,Travel_Rarely,617,Research & Development,3,Very Less Educated,Life Sciences,Medium,Female,34,High,Low,Manufacturing Director,High,Married,4171,0,1,19,3,Low,1,4,3,Very High,3,2,0,2
22,18-25,0,Travel_Rarely,217,Research & Development,8,Very Less Educated,Life Sciences,Medium,Male,94,Low,Very Low,Laboratory Technician,Low,Married,2451,1,0,15,3,Low,1,4,3,Medium,4,3,1,1
22,18-25,1,Travel_Frequently,1256,Research & Development,3,Highly Educated,Life Sciences,High,Male,48,Medium,Very Low,Research Scientist,Very High,Married,2853,0,1,11,3,Medium,1,1,5,High,0,0,0,0
22,18-25,0,Non-Travel,457,Research & Development,26,Less Educated,Other,Medium,Female,85,Medium,Very Low,Research Scientist,High,Married,2814,1,1,14,3,Medium,0,4,2,Medium,4,2,1,3
22,18-25,1,Travel_Rarely,1294,Research & Development,8,Very Less Educated,Medical,High,Female,79,High,Very Low,Laboratory Technician,Low,Married,2398,1,1,17,3,High,0,1,6,High,1,0,0,0
22,18-25,1,Travel_Rarely,391,Research & Development,7,Very Less Educated,Life Sciences,Very High,Male,75,High,Very Low,Research Scientist,Medium,Single,2472,1,1,23,4,Low,0,1,2,High,1,0,0,0
22,18-25,0,Travel_Rarely,581,Research & Development,1,Less Educated,Life Sciences,Very High,Male,63,High,Very Low,Research Scientist,High,Single,3375,0,0,12,3,Very High,0,4,2,Very High,3,2,1,2
23,18-25,0,Travel_Rarely,541,Sales,2,Very Less Educated,Technical Degree,High,Male,62,High,Very Low,Sales Representative,Low,Divorced,2322,3,0,13,3,High,1,3,3,High,0,0,0,0
23,18-25,0,Travel_Rarely,1309,Research & Development,26,Very Less Educated,Life Sciences,High,Male,83,High,Very Low,Research Scientist,Very High,Divorced,2904,1,0,12,3,High,2,4,2,Medium,4,2,0,2
23,18-25,0,Travel_Rarely,885,Research & Development,4,Moderately Educated,Medical,Low,Male,58,Very High,Very Low,Research Scientist,Low,Married,2819,2,0,16,3,Low,1,5,3,Very High,3,2,0,2
23,18-25,0,Travel_Rarely,650,Research & Development,9,Very Less Educated,Medical,Medium,Male,37,High,Very Low,Laboratory Technician,Low,Married,2500,1,0,14,3,Very High,1,5,2,Very High,4,3,0,2
23,18-25,0,Travel_Rarely,310,Research & Development,10,Very Less Educated,Medical,Low,Male,79,Very High,Very Low,Research Scientist,High,Single,3505,1,0,18,3,Very High,0,2,3,High,2,2,0,2
23,18-25,1,Travel_Rarely,1243,Research & Development,6,Moderately Educated,Life Sciences,High,Male,63,Very High,Very Low,Laboratory Technician,Low,Married,1601,1,1,21,4,High,2,1,2,High,0,0,0,0
23,18-25,0,Travel_Rarely,373,Research & Development,1,Less Educated,Life Sciences,Very High,Male,47,High,Very Low,Research Scientist,High,Married,1223,1,0,22,4,Very High,1,1,2,High,1,0,0,1
23,18-25,0,Travel_Rarely,507,Research & Development,20,Very Less Educated,Life Sciences,Low,Male,97,High,Low,Laboratory Technician,High,Single,2272,0,0,14,3,Medium,0,5,2,High,4,3,1,2
23,18-25,0,Travel_Rarely,977,Research & Development,10,Moderately Educated,Technical Degree,Very High,Male,45,Very High,Very Low,Research Scientist,High,Married,2073,2,0,16,3,Very High,1,4,2,High,2,2,2,2
23,18-25,1,Travel_Rarely,1320,Research & Development,8,Very Less Educated,Medical,Very High,Male,93,Medium,Very Low,Laboratory Technician,High,Single,3989,1,1,11,3,Low,0,5,2,High,5,4,1,2
